ID,NAME,POS,TEAM,ORG,LEAGUE,LEVEL,AGE,CURRENT,POTENTIAL,PITCH DIFF CURRENT,PITCH DIFF POT,BAT DIFF CURRENT,BAT DIF POT,START OVR CUR,START OVR POT,RELIEF OVR CUR,RELIEF OVR POT,BAT OVR CUR,BAT OVR POT,START BASE CUR,START INDIV CUR,START BASE POT, START INDIV POT,RELIEF BASE CUR,RELIEF INDIV CUR,RELIEF BASE POT,RELIEF INDIV POT,BAT HIT CUR,BAT FIELD CUR,BAT HIT POT,BAT FIELD POT,BATTER WAR,PITCHER WAR,MLB YEARS,WORK ETHIC,INTELLIGENCE,LEADER,GREED,LOYALTY,PERSONALITY
3852,Ángel Rivera,RP,Oakland,Oakland,PBL,MLB,27,2.5,2.5,1,1,0,0,103,103,99,102,0,0,75,121,75,121,70,121,75,121,0,0,0,0,0.0,1.1,2,High,Normal,Normal,Normal, Normal,Sparkplug
3866,Ji-hwan Song,SP,-,-,-,-,27,2.0,2.0,0,0,0,0,78,78,71,71,0,0,52,83,52,83,45,83,45,83,0,0,0,0,-100,-100,0,Normal,Normal,Low,Normal, Normal,Normal
3871,António Aguilera,2B,Seattle,Seattle,PBL,MLB,28,3.0,3.0,0,0,0,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,93,146,93,146,-0.6,0.0,3,High,High,Normal,High, Normal,Normal
3873,Yoshiki Watanabe,RP,Rocket City,New York,NYP,A-,29,1.0,1.0,0,1,0,0,84,84,79,79,0,0,55,108,55,108,48,108,48,108,0,0,0,0,-100,-100,1,Normal,Normal,Normal,High, Normal,Normal
3878,Nelson Campos,2B,San Antonio,San Diego,TEX,AA,27,1.0,1.0,0,0,-1,0,0,0,0,0,78,79,0,0,0,0,0,0,0,0,66,118,67,118,-100,-100,0,High,Normal,High,Low, High,Normal
3885,Wen-huan Kau,CF,Philadelphia,Philadelphia,PBL,MLB,27,2.5,2.5,0,0,0,0,0,0,0,0,98,98,0,0,0,0,0,0,0,0,89,135,89,135,1.2,0.0,2,Normal,Normal,Low,High, Low,Selfish
3898,Aureliano Cervantes,SS,Washington,Washington,PBL,MLB,27,4.5,4.5,0,0,0,0,0,0,0,0,112,115,0,0,0,0,0,0,0,0,103,157,107,157,3.8,0.0,5,Normal,High,Normal,Normal, Normal,Normal
3902,Fernando González,SP,Gwinnett,Atlanta,IL,AAA,29,2.0,2.0,0,0,0,0,90,91,71,76,0,0,69,67,69,74,51,67,56,74,0,0,0,0,-100,-100,0,Low,Normal,Low,High, Normal,Normal
3906,Ricardo Cabrera,3B,Tennessee,Chicago,SL,AA,27,1.0,1.0,0,0,0,0,0,0,0,0,76,76,0,0,0,0,0,0,0,0,64,151,64,151,-100,-100,0,High,High,Normal,Normal, Normal,Sparkplug
3908,Tsunesaburo Sato,C,-,-,-,-,27,0.5,0.5,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,0,55,108,55,108,-100,-100,0,Normal,High,Normal,Low, Normal,Normal
